addressid,ownerid,province,district,neighborhood,addressaddedtime
48269993-f0e1-4f1d-914d-ac366c6abbc8,f862297a-4492-4856-8023-36e7bb8949d5,İstanbul,Üsküdar,Validei Atik,2025-05-20 16:30:21.573
8b129bf2-25c2-41c4-a243-0ce10e79382f,af0a1fbe-785b-486f-add4-5450007d891d,İstanbul,Kadıköy,Suadiye,2025-06-12 20:31:55.996
574a0b51-9f79-432f-b94d-87e89c34d4ba,f452605f-875e-4a34-96d7-881e3fd8b56f,İstanbul,Maltepe,Küçükyalı,2025-07-22 22:41:56.303
bf2939c3-295c-4b07-8d8a-9c3834d9d3bf,22a98fbc-21f8-454c-be70-83c15499c815,İzmir,Konak,Alsancak,2025-05-28 16:02:01.191
80f8bbf4-ee79-44b2-876e-7228c41357f7,fa58d1ed-4938-47da-8bae-93df7dbc4133,İstanbul,Kağıthane,Gürsel,2025-07-28 23:44:57.443
27fe238b-1923-494b-8ad5-007562be1270,6f2bf8d2-2e79-4c1e-999d-ff3ef4a5be25,İstanbul,Büyükçekmece,Fatih,2025-05-06 19:14:34.808
195cb7f9-d201-4f44-86bd-20b7561c98d5,11a5c3d0-a875-427a-8395-86bc95876827,Ankara,Çankaya,Prof. Dr. Ahmet Taner Kışlalı,2025-07-10 09:16:16.148
7037fcb2-c4c0-464a-bfd1-2f959c7f2bf7,cfa8a308-ed22-497f-86cf-cc406917999d,İstanbul,Ataşehir,Mevlana,2025-07-05 14:18:18.521
89062007-988a-4e31-b2ac-2d1dda8bacdb,1548a53f-c893-4b61-8f23-cb27ebf7d275,İstanbul,Kadıköy,Hasanpaşa,2025-07-24 19:32:19.073
ba6d7b99-eada-4746-bfa6-990560f7965c,0fc3d2ef-706d-4ca0-a57f-0c232e735145,İstanbul,Şişli,Esentepe,2025-07-14 13:16:19.820
83fcc6c2-b77b-4181-8ada-aa1e2de34343,2171cadb-0d55-4916-829d-f8d9f0985d2e,İstanbul,Kadıköy,Erenköy,2025-05-07 16:03:10.225
44fced36-743c-404b-aaaf-c5ec37c873cb,24ea6174-a768-4bd8-945d-b1a30e9c183c,İstanbul,Tuzla,Cami,2025-07-06 07:24:40.444
e2196b3a-1eea-466c-82b8-1747ca0757a5,e7f15c9e-1da5-4043-a480-ad19c047423d,İzmir,Çeşme,Dalyan,2025-06-17 21:46:44.660
87310331-aa68-4e44-bf91-9f746c7a3937,769d4eff-3760-43a4-9c8c-704afbd258fb,İstanbul,Kadıköy,Bostancı,2025-07-27 19:33:36.695
2610d67d-9daf-45ff-9b6c-0ea111abd39f,ca627e5c-a9b5-44a0-979b-7eae9588ae27,İstanbul,Bakırköy,Zuhuratbaba,2025-05-16 18:54:35.681
3f1195b5-d434-467f-97ef-24151737e53b,98cad307-86b7-471f-b4a8-d52dc3f54ec3,İstanbul,Sancaktepe,Eyüp Sultan,2025-07-21 16:41:31.338
