catid,ownerid,breed,birthday,weight,gender,isspayed,cataddedtime
4801b993-049e-4f2f-8280-1a2fc71f9eeb,5fb1ac4a-8b88-40f7-9ee1-a163f270673e,Scottish Fold,01/01/2022,2800.0,Female,False,2025-06-10 13:09:59.174
d438bbb1-0486-492f-aff3-c777a1f603c5,d4f54ff0-9349-42b0-9980-c7b337c5ef6d,Tekir,05/05/2021,7.0,Male,True,2025-06-05 06:51:57.800
ef8c395c-2a63-438e-82e7-4e597ab3b1b9,17627206-9658-4041-86cb-54f8890c44bf,British Shorthair,02/08/2023,5.0,Female,False,2025-05-25 20:42:46.645
d79a83bb-d8a2-404b-a3de-33ba0e4d79f6,c160353b-1355-4d61-adb7-351a71a45223,Asian Tabby,05/10/2020,8.0,Male,True,2025-06-10 05:12:21.035
42a357d9-70f4-4bb5-ae52-303896b0941f,b753ca60-e346-4e54-9c66-2e72cf2457f0,Smokin,01/01/2016,4.0,Male,True,2025-06-28 16:31:58.557
d2318958-643c-4892-b1dd-b37da97b9b7e,e6522039-4564-4647-b675-7cba68ef48e5,British Shorthair,29/05/2019,6.0,Male,True,2025-05-29 12:55:53.709
b8f66682-2cb4-4390-b74a-0dfdd0221e77,ce6124ff-9e06-4c46-a186-fffbf483b766,Russian,02/07/2020,5.0,Female,True,2025-05-23 14:45:40.049
7e994100-9b3b-48b7-a110-a23ca182eb58,ed02ad8f-a833-4ed1-8e71-3620e4d0e7d9,British Shorthair,06/06/2020,4.0,Female,True,2025-07-30 23:13:26.316
0133db3a-f4d5-4f15-9c60-9df32faaee19,b8a3dc2c-e1a6-4608-a631-3100e56f5ef1,British Shorthair,09/03/2025,1.0,Female,False,2025-05-09 00:42:54.606
90b74a70-d807-4e89-a800-dc08b24fa5b5,33a9f2e5-7b7f-4b95-ace5-1bd579ae058d,Siamese,21/06/2023,4.0,Female,True,2025-06-04 16:22:13.475
75cbe8bb-f114-4ff1-90d5-1b6c0fbfaffe,ba442c7a-72b5-49e8-a95d-bfae037aa283,Smokin,14/02/2022,7.0,Male,True,2025-06-28 23:33:10.837
4e51fc0c-5581-4150-bdfb-ae8fae5375c4,dfe655b6-13e9-43d4-9724-74bca1a77f0d,Tekir,23/07/2024,2.0,Female,False,2025-07-01 01:37:52.251
423f556e-d349-4b3f-a75e-6b97ca641620,5b936679-242b-4080-9735-e7ef2ac468f9,Scottish Fold,03/08/2020,4.0,Male,True,2025-07-09 12:58:17.334
0c0928b4-7338-4e50-a544-2c64eab98c1d,74eae3a8-cab4-4552-acc0-f1cef26750ea,Agean,03/08/1996,7.0,Male,False,2025-05-20 22:08:43.300
ff6d8591-bd24-4c0d-b7d3-7e009ab841b7,26abb2d0-aa63-4983-b6a7-b52e1978acf5,Sarman,03/03/2019,6.0,Male,True,2025-07-14 08:51:19.306
6986a30a-5016-49e8-9693-acd4923179c8,530294ae-4ad2-4c8e-9ee8-d2feb1904a8f,Chincilla,01/04/2022,4.0,Male,True,2025-05-19 16:26:09.563
3a73f097-62ab-40eb-a8c1-77a8d97098a2,ff55b803-cb3f-4f60-a96c-6245396b247e,British Shorthair,05/05/2023,3.0,Female,False,2025-07-20 22:41:03.445
4a18fc4c-88c6-4961-87bf-83e13fc7d3eb,c7e7abf3-ecc0-4c1c-9609-14e2032ac08a,Tekir,02/03/2025,2.0,Male,False,2025-07-07 18:53:43.344
bb98f14a-0839-4de5-9c42-d5186f9113bf,276c0f0b-5a56-431c-bd18-d7339bc33b2f,Tekir,27/06/2022,5.0,Female,True,2025-06-27 12:41:23.579
b066fd0d-81e4-420d-8f01-08aa43ed749c,9ada714d-a87e-4ad7-bd0a-908de9ef5e68,Norwegian Forest,21/10/2018,6.0,Female,True,2025-07-23 10:58:51.485
0c004e98-9b46-4319-bdf9-091405a6443a,622a4cf9-3538-4b19-9677-d111bcce40a2,Sokak Kedisi,03/11/2023,7.0,Male,True,2025-07-15 15:34:51.811
94879d5d-bc93-4de4-a6ec-f2482193cc6c,27487d45-fc8f-4479-a281-d21f2b150965,British Shorthair,05/01/2022,4.0,Female,True,2025-06-05 09:58:12.319
0eaa199a-9eb3-4349-9a66-521658d97060,2bad2ea4-8da5-4888-a5bc-e2f71ab05346,Tekir,03/07/2024,3.0,Female,False,2025-05-26 05:47:43.892
e6a5fc94-9512-407d-bfd5-1e339d3424b8,3d5c624a-ecc9-44bf-a02f-2298b86dd7f0,British Shorthair,29/04/2021,6.0,Male,True,2025-07-22 15:30:13.555
8a3cd5b3-8edd-4137-9359-7eab867ee9bf,4df92f3d-3e41-4ccb-b367-832497d9929d,Sokak Kedisi,01/05/2017,3.0,Female,True,2025-07-16 19:48:38.446
4bb38474-7508-4ce2-ad76-742d24208e11,ba7f70e1-a19f-4367-baf4-daa5d940d53a,Persian,25/06/2016,4.0,Female,True,2025-08-02 11:44:51.604
5af94894-7764-4271-a4cf-4174c6909141,9d2a5b92-022b-45b3-967b-51e1d0d9aa0d,Arabian Miu,24/09/2020,5.0,Male,True,2025-06-26 10:39:40.516
34fd9236-fb3c-4b19-9c17-2af201e746fb,85eeb81d-36a9-47bf-a689-f4c2905c7de5,British Longhair,06/01/2025,1.0,Female,False,2025-06-17 17:47:04.180
dd7c58da-5a21-4e3d-9668-0206288bdecb,8810ca4e-5ac8-4846-b6ec-55c69a5ba196,Scottish Fold,15/12/2023,4.0,Male,True,2025-06-13 00:00:42.429
e8236ee5-f167-42fc-af8b-6b258034548f,c20f5a9b-b0fd-4509-9f44-702b82ed5d2d,Russian,11/02/2023,5.0,Female,True,2025-07-11 12:42:35.304
f6690430-d5f1-49ee-821e-959d8f5bc638,a34662a9-5819-4131-89f9-0d258e118ea1,Uzun Tüylü Tekir,04/08/2021,3.0,Female,True,2025-06-27 11:18:06.435
fa10e8f7-9537-47e9-a81b-d9145839a6ea,abfa79c1-07bb-412b-a9b5-39f64301c5ae,Siamese,09/05/2024,2.0,Female,True,2025-07-09 13:19:31.977
4d93cdc6-0d6f-40d5-baf0-f06993f9680e,02d17d15-7ff5-4663-80f3-19d1456f0854,British Shorthair,17/03/2023,6.0,Female,True,2025-06-18 11:48:36.647
6d1bc3aa-12d8-4ea3-ad61-6dc75f0c2bbc,4d4d28b7-dd4a-49be-a696-1ac7f8824b1f,Tekir,03/07/2024,2.0,Female,True,2025-06-02 15:36:51.944
9a9552f7-3643-4c44-9e35-2b24e885f530,cf845726-8bd9-4fe9-a829-2dcb7850cb10,Bombay,03/08/2022,4.0,Female,True,2025-07-07 12:25:50.599
e0628cb4-c246-4033-b29a-86756319e46a,a1e27836-30a9-42e5-935c-1dd32c079bfb,Van Kedisi,07/04/2013,4.0,Female,True,2025-07-23 20:10:31.890
8a7c1079-e518-4301-8175-bd50ff57db8c,3d0e938d-92b4-4258-a752-0bea7ad6e94a,Tekir,25/09/2024,5.0,Female,False,2025-07-28 00:31:54.169
70d13958-6c23-4e44-a822-5f7f8d03f017,9964bd5a-602d-42c9-bd77-baede246bb54,British Longhair,03/08/1996,6.0,Male,True,2025-07-07 12:24:55.318
58e14cc1-b537-4ce7-afa0-20c9ea4baf48,ae90255c-6cc8-4b3d-b44e-4f3a2c4398a7,Tekir,08/10/2024,5.0,Female,True,2025-07-09 15:33:11.702
da8acea2-f6d3-4283-a643-2ada69ca4d87,aeaa27ae-df2a-4717-84ca-4a3d1c33f59d,Üç Renkli Tekir (Calico),05/02/2024,2.0,Male,False,2025-06-19 09:52:53.910
b0ff9941-6295-4733-88e1-7a19806ee6be,e1d452fb-622c-43fa-ab5d-bf44af95d08d,Tekir,03/08/1996,6.0,Male,True,2025-05-29 15:16:31.013
