uuid,user_id,event_time,serviceType
d7313fb5-30bc-450f-894e-4ace6b2f51a8,ff2f7118-4f3d-4660-b2ed-9847f9248b5e,2025-05-06 22:40:43.519,Grooming
8a94085c-56d1-410f-92b8-a2b1b82e4bcf,a2d35a5e-302a-4a45-81c9-940ed7c781cc,2025-05-06 20:22:45.962,AdHoc
39602cb0-b96b-42b5-92f6-b65fb27f76b2,a2d35a5e-302a-4a45-81c9-940ed7c781cc,2025-05-06 20:22:59.297,AdHoc
462023ef-1d9f-4879-ac62-2fdfb8bc81a2,a9b1d93a-6e23-4677-932a-35193b019c23,2025-05-06 17:26:21.220,AdHoc
12d79836-ab5c-4f4c-8b46-403e90dbaa71,a9b1d93a-6e23-4677-932a-35193b019c23,2025-05-06 17:26:21.646,AdHoc
3271766d-86eb-4c4a-b948-0271d6bf96d8,65695079-9c38-4eeb-af59-9a295c919da1,2025-05-06 16:28:44.966,Planned
8550afbc-4568-4d7d-91a8-75f2a0191daa,65695079-9c38-4eeb-af59-9a295c919da1,2025-05-06 16:28:50.017,Planned
8e82d94c-c88b-4fa5-a2f6-7c96b720e52a,65695079-9c38-4eeb-af59-9a295c919da1,2025-05-06 18:32:44.083,Planned
264d4b20-d380-4887-9f28-57770cf20d11,65695079-9c38-4eeb-af59-9a295c919da1,2025-05-06 18:32:49.472,Planned
3761785e-e9fa-4bf9-b546-97b8a2f420ff,d6f393e7-f811-4926-887a-4e7165d3477d,2025-05-06 16:03:55.059,Planned
371c2046-83bf-43b5-8dde-6fd9b1ca86e4,4c6a3bc8-16a1-46b2-b76f-7b60d0da99c8,2025-05-06 19:03:57.765,AdHoc
9a735bd5-25ef-431f-8e49-8fb774408d77,4c6a3bc8-16a1-46b2-b76f-7b60d0da99c8,2025-05-06 19:04:30.305,AdHoc
bf5464f1-391e-4dea-b784-c282c21aed77,80c8b101-99c2-40f4-86b9-dca742c424a7,2025-05-06 20:08:53.547,AdHoc
337f39ce-7b45-4000-b946-ae82408a2d1b,3b823ae2-ec85-4764-b12d-9be14ffadf13,2025-05-06 17:24:42.886,AdHoc
8db45b56-66c8-434f-8d58-7b564ec0a444,c38f394b-fb8f-4b9e-a724-245f0bbcfb92,2025-05-06 14:07:54.083,Planned
