creditcardid,ownerid,cardaddedtime
70561abc-45e3-47f7-a57d-f493d6e03c9c,d80ee2e2-6eeb-4bd9-a05f-e6ae3f5c24a5,2025-05-23 09:33:42.411
7e992517-7179-44c0-b9ad-28305447e91c,6d739b77-f299-4e16-b6b3-3a13cf9ba610,2025-05-26 13:16:36.679
d4033f45-634c-437d-9e02-db8b1ec5161c,86f7250c-060a-4e17-a290-98d48f6bc861,2025-07-22 13:10:48.496
85b4baa3-2a6a-453a-8212-1333effd3df3,4df92f3d-3e41-4ccb-b367-832497d9929d,2025-06-01 13:32:31.041
2cee5945-7ac8-4eb7-8326-8811f6992ee6,3789189c-2a98-4c52-9d66-59539df76441,2025-06-03 13:34:25.098
bde34443-50a4-46a1-a50f-66c581f0510d,cd3a3378-bdc4-4f78-85d0-eabbe0f722ea,2025-05-10 07:58:20.891
0f6475b3-4324-4d17-8af0-dcdf586d6c5c,0a04d9cb-c4c3-4a64-bc51-13e4e9217c93,2025-07-10 19:45:29.519
c4c1eb15-db21-46a1-a5e8-c7289fb64171,6eb835c5-cc64-4437-9575-01d1e03d84d5,2025-07-27 09:50:53.578
ac8a5cac-15d7-4e63-b3a5-3cac339874a8,1c95589d-220d-46bd-ad56-17ba112caa9a,2025-06-24 18:01:44.035
1aa1ad6b-f68d-4da6-9299-486fa10e0e1e,cc743e67-aab4-4465-b686-0cef0632069f,2025-07-03 11:32:00.303
734a2b0b-09cc-4477-9018-46862994e584,cfe951c2-1156-4ddb-b057-ed52512dad38,2025-05-06 15:55:06.602
d738e9b4-1b10-47ee-92c4-5f78a25ec2d5,c08a433d-4a81-447a-966c-d3ab5f653d19,2025-05-23 19:31:52.287
bf76aee4-5481-4d9d-b8e0-363ca5fc716b,fd945dfc-bdc3-4b97-8062-04c7f92a5be4,2025-05-18 19:17:44.649
5017ed5c-4214-4466-bdf3-d6220073d5ef,3c53afc6-604b-4888-8184-6a5f669376fa,2025-06-12 21:46:05.264
307e3727-037c-4cb7-b146-091f24303a4d,ccaf336b-41fe-4cfe-bf3c-03e5d69edce3,2025-06-11 12:05:16.680
db06c11f-24a4-4d3c-8d77-7b950e563d23,4edd9d81-b39c-4565-807e-c719c1f2decf,2025-06-30 17:54:08.923
4852aad4-e3f5-4a97-aab2-f339ee2e21f1,edb61a71-72dd-4cb4-9d57-a2d62a415be2,2025-05-25 16:49:30.421
ee3c44a2-a492-4ed4-bdc6-0b86b12495e6,499fc0ab-95c9-4694-ba23-63c9f1c02d7f,2025-05-16 09:28:07.464
46e21cf0-db3c-4e52-9f4c-7dc9571a3e72,9189712b-91de-4142-9d04-23cc683dd52c,2025-08-03 14:46:02.260
